seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Cameron,Kennedy,38,Fofuni Court,Ovovuzrur,LA,71500,$9407.96,BLUE,10/25/2058
2,Lillian,Reyes,39,Pepabo Grove,Wavpanja,MO,00572,$2112.55,RED,10/10/2046
3,Susan,Valdez,53,Dilel Terrace,Owawuzso,PA,07590,$7013.47,WHITE,12/25/1988
4,Samuel,Bowen,21,Obipu Street,Silwuoli,OR,95293,$3824.73,RED,11/14/1948
5,Nannie,Ramos,42,Zifpa Plaza,Gojuuh,SD,07605,$481.25,RED,10/23/1952
6,Cecilia,Gordon,63,Efesul Court,Vogeja,NE,55942,$7324.45,YELLOW,03/18/1906
7,Nellie,Vargas,25,Lumlos Highway,Liigulo,MS,78038,$3907.07,BLUE,03/09/1934
8,Marie,Craig,58,Kuwe Park,Wukmaepa,WY,01609,$6281.89,RED,08/10/1934
9,Jordan,Sandoval,52,Venbew Key,Bepibib,MT,76367,$2527.29,GREEN,01/13/1941
10,Rebecca,Brown,41,Leabu Lane,Nietiti,AR,18541,$132.99,WHITE,04/28/1942
11,Louise,Briggs,41,Ipgos Junction,Rojuel,MN,70990,$5323.67,RED,08/23/2028
12,Claudia,White,23,Bitah Way,Vejcalok,AZ,10552,$483.02,YELLOW,10/25/1994
13,Phoebe,Hoffman,38,Dihora Road,Emocobug,WY,82244,$606.06,RED,12/14/1988
14,Edward,Hale,53,Utiedu Extension,Tahjuwvem,AK,72469,$9171.60,BLUE,11/22/1989
15,Ronald,Craig,26,Jufzu Highway,Ehuvaso,NY,83711,$5130.11,YELLOW,06/24/1991
16,Augusta,Flowers,50,Nuot Drive,Dagegisi,DE,10635,$3312.73,YELLOW,04/24/1954
17,Leroy,Bridges,40,Becod Street,Wopevami,AK,77567,$6603.13,WHITE,04/08/1954
18,Louisa,Martinez,19,Buba Parkway,Fibobna,ID,42778,$1143.42,BLUE,01/28/1945
19,Roy,Brooks,35,Riih Point,Meepapit,MO,98564,$4133.22,RED,09/03/1959
20,Mike,Lowe,61,Oguat Court,Aplejwaj,OK,89543,$9515.35,BLUE,11/09/2069
21,Henrietta,Mullins,60,Ujga Parkway,Gonhobu,IA,19688,$6205.58,YELLOW,10/06/2046
22,Calvin,Floyd,39,Hisvic Point,Cohropwe,FL,12733,$2290.07,RED,07/29/1914
23,Myrtie,Spencer,56,Ceuni Drive,Teskifir,SC,21232,$2322.27,RED,08/03/2006
24,Leona,Ramos,62,Vubdud Place,Cufifun,AL,51114,$8262.77,YELLOW,04/27/2038
25,Landon,Roberson,41,Opobek Terrace,Ahpufa,NE,30088,$962.04,WHITE,09/08/1938
26,Eddie,Higgins,40,Laboh Extension,Fofticva,MS,87992,$3323.13,WHITE,10/26/2031
27,Ricky,Nichols,23,Suus Plaza,Velgizaza,KY,58122,$1597.25,BLUE,11/29/2011
28,Olive,Lambert,27,Oniko Mill,Isoereza,TN,90514,$9600.43,BLUE,02/07/1901
29,Alex,Baldwin,31,Iraow Pass,Melwidov,LA,76166,$9752.25,RED,11/03/2001
30,Jeremiah,Schwartz,20,Dibi Extension,Jahiwraw,DC,62914,$5010.94,RED,10/23/1900
31,Theodore,Jacobs,34,Vefbi Glen,Ululujonu,RI,52666,$9148.64,YELLOW,08/04/1958
32,Lucas,Howard,33,Laris Heights,Dafuef,MI,91219,$602.55,RED,04/16/2037
33,Ann,Swanson,19,Lamu Center,Ratonicu,IN,30629,$1010.62,YELLOW,12/30/1923
34,Adelaide,Haynes,42,Niemu Pass,Petpocgo,CA,16141,$2615.14,WHITE,07/25/1977
35,Bettie,Alvarado,33,Ivha Trail,Raemoal,PA,24040,$1528.24,RED,10/14/2017
36,Sue,Carr,32,Isiim Trail,Cajakuna,NY,92359,$412.52,GREEN,03/19/2067
37,Nelle,Glover,53,Ireug Turnpike,Dudkiha,FL,24340,$7689.79,RED,04/15/1949
38,Kenneth,Mullins,32,Nidap Plaza,Juhkoko,CT,71408,$4756.99,BLUE,05/24/1973
39,Rachel,Matthews,54,Resic Place,Divzennam,NH,25568,$5648.57,BLUE,10/03/1906
40,Maria,Meyer,23,Haju Turnpike,Cehanvep,VT,33031,$7392.59,WHITE,03/15/1934
41,Lettie,Cruz,60,Ejojes Glen,Sotrujaf,MA,69333,$5795.79,BLUE,07/19/1942
42,Derek,Sharp,22,Fuelo Path,Sucnilur,MA,75769,$6380.87,YELLOW,06/24/1939
43,Hettie,Barrett,40,Cubij Ridge,Reruzpi,WV,99538,$387.06,GREEN,12/31/2045
44,Della,Ford,39,Favta Ridge,Tufeti,RI,70758,$1180.68,YELLOW,05/23/1984
45,Florence,Wright,19,Behwi Extension,Tabicih,OK,73633,$3710.49,YELLOW,09/20/1907
46,Frances,Copeland,58,Nafzav Square,Ubpuripa,KY,40640,$3302.84,YELLOW,04/20/2034
47,Roy,Johnston,60,Akemu Heights,Riarce,AR,69731,$4224.32,RED,09/09/1956
48,Cecelia,Butler,60,Zemhi Way,Zukwospom,GA,56847,$7906.02,YELLOW,01/26/1960
49,Lida,Edwards,61,Posil Avenue,Izwije,NV,22151,$2683.94,GREEN,08/21/1903
50,Randy,Jones,19,Rusa Court,Apeluaf,FL,03807,$6685.32,GREEN,06/07/2041
51,Luis,Mitchell,58,Hipoho Place,Nihirat,OH,76659,$1676.80,YELLOW,09/07/2063
52,Vera,Murphy,39,Necoj Path,Zuejoti,MI,51285,$6812.97,WHITE,05/13/1903
53,Virgie,Martinez,50,Ezefek Extension,Supmutuw,OK,51976,$1016.55,WHITE,08/04/1922
54,Myrtie,Bennett,56,Zaztan Drive,Haduwik,MS,41875,$9313.63,YELLOW,04/15/1946
55,Jeffrey,Woods,29,Saig Junction,Ufowazu,DC,36623,$5855.38,YELLOW,05/04/1921
